date,hits,search_term
1/22/2017,52,Artificial intelligence
1/29/2017,52,Artificial intelligence
2/5/2017,55,Artificial intelligence
2/12/2017,53,Artificial intelligence
2/19/2017,55,Artificial intelligence
2/26/2017,56,Artificial intelligence
3/5/2017,59,Artificial intelligence
3/12/2017,55,Artificial intelligence
3/19/2017,56,Artificial intelligence
3/26/2017,59,Artificial intelligence
4/2/2017,59,Artificial intelligence
4/9/2017,57,Artificial intelligence
4/16/2017,58,Artificial intelligence
4/23/2017,61,Artificial intelligence
4/30/2017,57,Artificial intelligence
5/7/2017,57,Artificial intelligence
5/14/2017,62,Artificial intelligence
5/21/2017,62,Artificial intelligence
5/28/2017,58,Artificial intelligence
6/4/2017,55,Artificial intelligence
6/11/2017,60,Artificial intelligence
6/18/2017,58,Artificial intelligence
6/25/2017,62,Artificial intelligence
7/2/2017,55,Artificial intelligence
7/9/2017,60,Artificial intelligence
7/16/2017,64,Artificial intelligence
7/23/2017,63,Artificial intelligence
7/30/2017,100,Artificial intelligence
8/6/2017,64,Artificial intelligence
8/13/2017,63,Artificial intelligence
8/20/2017,59,Artificial intelligence
8/27/2017,59,Artificial intelligence
9/3/2017,70,Artificial intelligence
9/10/2017,65,Artificial intelligence
9/17/2017,66,Artificial intelligence
9/24/2017,67,Artificial intelligence
10/1/2017,70,Artificial intelligence
10/8/2017,70,Artificial intelligence
10/15/2017,74,Artificial intelligence
10/22/2017,81,Artificial intelligence
10/29/2017,80,Artificial intelligence
11/5/2017,85,Artificial intelligence
11/12/2017,83,Artificial intelligence
11/19/2017,81,Artificial intelligence
11/26/2017,81,Artificial intelligence
12/3/2017,84,Artificial intelligence
12/10/2017,82,Artificial intelligence
12/17/2017,76,Artificial intelligence
12/24/2017,67,Artificial intelligence
12/31/2017,67,Artificial intelligence
1/7/2018,77,Artificial intelligence
1/14/2018,85,Artificial intelligence
1/21/2018,80,Artificial intelligence
1/28/2018,80,Artificial intelligence
2/4/2018,76,Artificial intelligence
2/11/2018,74,Artificial intelligence
2/18/2018,77,Artificial intelligence
2/25/2018,82,Artificial intelligence
3/4/2018,79,Artificial intelligence
3/11/2018,78,Artificial intelligence
3/18/2018,76,Artificial intelligence
3/25/2018,76,Artificial intelligence
4/1/2018,78,Artificial intelligence
4/8/2018,78,Artificial intelligence
4/15/2018,78,Artificial intelligence
4/22/2018,76,Artificial intelligence
4/29/2018,74,Artificial intelligence
5/6/2018,87,Artificial intelligence
5/13/2018,82,Artificial intelligence
5/20/2018,79,Artificial intelligence
6/2/2013,51,Cannabis
6/9/2013,50,Cannabis
6/16/2013,50,Cannabis
6/23/2013,51,Cannabis
6/30/2013,49,Cannabis
7/7/2013,51,Cannabis
7/14/2013,50,Cannabis
7/21/2013,51,Cannabis
7/28/2013,55,Cannabis
8/4/2013,54,Cannabis
8/11/2013,54,Cannabis
8/18/2013,52,Cannabis
8/25/2013,52,Cannabis
9/1/2013,53,Cannabis
9/8/2013,50,Cannabis
9/15/2013,50,Cannabis
9/22/2013,52,Cannabis
9/29/2013,51,Cannabis
10/6/2013,52,Cannabis
10/13/2013,51,Cannabis
10/20/2013,52,Cannabis
10/27/2013,50,Cannabis
11/3/2013,53,Cannabis
11/10/2013,56,Cannabis
11/17/2013,53,Cannabis
11/24/2013,49,Cannabis
12/1/2013,50,Cannabis
12/8/2013,55,Cannabis
12/15/2013,50,Cannabis
12/22/2013,50,Cannabis
12/29/2013,73,Cannabis
1/5/2014,67,Cannabis
1/12/2014,60,Cannabis
1/19/2014,64,Cannabis
1/26/2014,60,Cannabis
2/2/2014,59,Cannabis
2/9/2014,56,Cannabis
2/16/2014,59,Cannabis
2/23/2014,61,Cannabis
3/2/2014,60,Cannabis
3/9/2014,60,Cannabis
3/16/2014,60,Cannabis
3/23/2014,58,Cannabis
3/30/2014,59,Cannabis
4/6/2014,58,Cannabis
4/13/2014,63,Cannabis
4/20/2014,67,Cannabis
4/27/2014,60,Cannabis
5/4/2014,60,Cannabis
5/11/2014,58,Cannabis
5/18/2014,58,Cannabis
5/25/2014,61,Cannabis
6/1/2014,57,Cannabis
6/8/2014,53,Cannabis
6/15/2014,53,Cannabis
6/22/2014,55,Cannabis
6/29/2014,52,Cannabis
7/6/2014,58,Cannabis
7/13/2014,57,Cannabis
7/20/2014,56,Cannabis
7/27/2014,57,Cannabis
8/3/2014,55,Cannabis
8/10/2014,56,Cannabis
8/17/2014,58,Cannabis
8/24/2014,54,Cannabis
8/31/2014,54,Cannabis
9/7/2014,55,Cannabis
9/14/2014,56,Cannabis
9/21/2014,56,Cannabis
9/28/2014,58,Cannabis
10/5/2014,57,Cannabis
10/12/2014,56,Cannabis
10/19/2014,57,Cannabis
10/26/2014,55,Cannabis
11/2/2014,69,Cannabis
11/9/2014,58,Cannabis
11/16/2014,61,Cannabis
11/23/2014,54,Cannabis
11/30/2014,55,Cannabis
12/7/2014,54,Cannabis
12/14/2014,55,Cannabis
12/21/2014,52,Cannabis
12/28/2014,55,Cannabis
1/4/2015,54,Cannabis
1/11/2015,56,Cannabis
1/18/2015,55,Cannabis
1/25/2015,54,Cannabis
2/1/2015,55,Cannabis
2/8/2015,53,Cannabis
2/15/2015,55,Cannabis
2/22/2015,60,Cannabis
3/1/2015,61,Cannabis
3/8/2015,58,Cannabis
3/15/2015,57,Cannabis
3/22/2015,57,Cannabis
3/29/2015,57,Cannabis
4/5/2015,57,Cannabis
4/12/2015,61,Cannabis
4/19/2015,71,Cannabis
4/26/2015,60,Cannabis
5/3/2015,59,Cannabis
5/10/2015,58,Cannabis
5/17/2015,58,Cannabis
5/24/2015,57,Cannabis
5/31/2015,58,Cannabis
6/7/2015,57,Cannabis
6/14/2015,56,Cannabis
6/21/2015,54,Cannabis
6/28/2015,58,Cannabis
7/5/2015,57,Cannabis
7/12/2015,57,Cannabis
7/19/2015,58,Cannabis
7/26/2015,57,Cannabis
8/2/2015,56,Cannabis
8/9/2015,58,Cannabis
